Type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,Machine failure,Tool wear failure,Heat dissipation failure,Power failure,Overstrain failure,Random failure,power,temperature difference,high_temperature_flag,high_torque_flag,low_rotational_speed_flag,wear_Stress
M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,6.951078534031413,10.5,0,0,0,0.0
L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,6.826219895287958,10.5,0,0,0,138.89999999999998
L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,7.748816753926701,10.399999999999977,0,0,0,247.0
L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,5.927068062827225,10.400000000000034,0,0,0,276.5
L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,5.897382198952879,10.5,0,0,0,360.0
M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,6.252094240837696,10.5,0,0,0,460.9
L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,6.917193717277486,10.5,0,0,0,593.6
L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,6.42779057591623,10.5,0,0,0,643.2
M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,4.992272251308901,10.399999999999977,0,0,0,514.8000000000001
M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,5.104502617801047,10.5,0,0,0,588.0
H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,4.4596649214659685,10.5,0,0,0,573.5999999999999
H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,6.600931937172774,10.5,0,0,0,1284.6999999999998
M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,7.164701570680629,10.5,0,0,1,1737.4
M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,5.472251308900524,10.599999999999966,0,0,0,1110.0
L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,4.176544502617801,10.599999999999966,0,0,0,784.0
L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,7.814952879581152,10.599999999999966,0,0,0,2032.8
M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,6.397130890052356,10.599999999999966,0,0,1,2050.4
M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,6.732565445026178,10.5,0,0,0,2143.2000000000003
H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,7.4530890052356025,10.399999999999977,0,1,1,2725.0
M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,5.55392670157068,10.400000000000034,0,0,0,1787.5
H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,6.147905759162304,10.400000000000034,0,0,0,2476.6000000000004
L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,6.802094240837696,10.5,0,0,0,2822.3999999999996
